16-7-21 下午1:57
项目统计

     	    片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	101133	421051	3605151	3954532	  2065	
剩余：  	 83148	379180	3333065	3660972	  2065	
独特：  	 47359	300630	2532248	2817008	  2064	
剩余独特：	 47010	298063	2515315	2797722	  2064	


单文件统计：

文件名                                                                     	 总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
documentation/2ddrawing/plot.html                                       	  50	  39	  15	    15	 202	 166	 115	   115	    1765	     1560	      883	        883	    1937	     1707	     1002	       1002	
documentation/2ddrawing/point.html                                      	  40	  32	  11	    11	 155	 144	  90	    90	    1040	      974	      536	        536	    1161	     1092	      618	        618	
documentation/2ddrawing/red.html                                        	  31	  18	   7	     7	 103	  40	  29	    29	     676	      378	      266	        266	     749	      404	      292	        292	
documentation/2ddrawing/resetgradientcolors.html                        	  38	  26	   7	     7	 110	  70	  51	    51	    1148	      871	      561	        561	    1223	      919	      609	        609	
documentation/2ddrawing/rgb.html                                        	  35	  27	  12	    12	 118	 107	  90	    90	     804	      738	      535	        535	     891	      822	      616	        616	
documentation/2ddrawing/rgba.html                                       	  37	  28	   9	     9	 145	 119	  76	    76	     902	      775	      522	        522	    1012	      868	      591	        591	
documentation/2ddrawing/roundbox.html                                   	  53	  39	  18	    18	 213	 151	 107	   107	    1854	     1497	     1001	       1001	    2026	     1621	     1104	       1104	
documentation/2ddrawing/setorigin.html                                  	  47	  37	  24	    24	 232	 219	 195	   195	    1993	     1915	     1588	       1588	    2216	     2135	     1797	       1797	
documentation/2ddrawing/startdrawing.html                               	  46	  38	  24	    24	 208	 197	 180	   180	    1651	     1585	     1336	       1336	    1817	     1748	     1499	       1499	
documentation/2ddrawing/stopdrawing.html                                	  26	  16	   9	     9	  70	  57	  50	    50	     671	      595	      492	        492	     726	      647	      544	        544	
documentation/2ddrawing/textheight.html                                 	  21	  14	   8	     8	  55	  45	  39	    39	     437	      378	      303	        303	     475	      413	      338	        338	
documentation/2ddrawing/textwidth.html                                  	  21	  14	   7	     7	  55	  45	  35	    35	     437	      378	      283	        283	     475	      413	      315	        315	
