alphanumeric sort	按字母数字顺序排列
field marshaller	字段封送处理程序
test type	测试类型
Trusted Root Certification Authorities	受信任的根证书颁发机构
Buy Now	立即购买
People Near Me	网络邻居
progressive disclosure	渐进式公开
interop assembly	互操作程序集
socket	套接字
content size	内容大小
error message	错误消息
RGB	RGB
red-green-blue	红-绿-蓝
depreciation book	折旧帐簿
Tablet PC Input Panel icon	Tablet PC 输入面板图标
monitor	监视器
refactoring	重构
hop	跃点
paging	分页
catalog expression	目录表达式
Backlight time out	背景光延时
beginner	初级
fact base	事实库
alias	别名
packet distribution service	数据包分发服务
Function procedure	Function 过程
stack	堆栈
on-hand	现有量
Workflow Manager	工作流程管理器
equation	公式
rating	分级
Product Development Planning	产品开发规划
limited properties of work centers	工作中心的有限属性
finite property	有限属性
in-country number format	国家/地区内号码格式
in-country/region number format	国家/地区内号码格式
expression	表达式
caption section	标题节
partially trusted	部分信任的
risk symptom	风险描述
workforce	劳动力
Human Resources Information System Implementation	实施人力资源信息系统
origin server	源服务器
Conversation window	对话窗口
account	帐户
Enterprise Edition pool	Enterprise Edition 池
account number	客户编号
memory leak	内存泄漏
left mouse button	鼠标左键
primary mouse button	主鼠标按钮
connector queue	连接器队列
outgoing proxy	传出代理
outbound proxy	出站代理
%WINDIR%	%WINDIR%
driver protection list	驱动程序保护列表
nested query	嵌套查询
subquery	子查询
Accounting Loader	会计系统加载程序
KB	知识库(KB)
kilobyte	千字节
temporary stored procedure	临时存储过程
temporary procedure	临时程序
detail field	明细字段
fixed file location	绝对文件位置
Mature	成人
M	M
heap	堆
NetBEUI	NetBEUI
NetBIOS Extended User Interface	NetBIOS增强型用户接口
appropriation	拨款
form instance	表单实例
declarative programming	声明性编程
Internet Database Connector	Internet 数据库连接器
SMS Executive	SMS Executive
opt in	选择加入
Office Web Components	Office Web Components
management mode	管理模式
indexer	索引器
default zone	默认区域
MOM Database Server	MOM 数据库服务器
cascading hubs	级联式集线器
Help Improvement program	帮助改进计划
accessibility aid	辅助工具
legend keys	图例项标示
End	结束
Play Recorded Announcement	播放录制的通知
code coverage	代码覆盖率
Windows NT	Windows NT
trap	陷阱
Wired AutoConfig Service	有线自动配置服务
accessory	附件
peripheral	外设
Monitoring Plug-in for Report Designer	报表设计器监控插件
customize	自定义
menu item	菜单项
Bucket tool	颜料桶工具
Tribal	部落音乐
Microsoft? Office Communicator Web Access	Microsoft? Office Communicator Web Access
predefined dimension	预定义维度
localization	本地化
VBA	VBA
Visual Basic for Applications	Visual Basic for Applications
WDL	WDL
Microsoft Windows Driver Library	Microsoft Windows 驱动程序库
Windows Driver Library	Windows 驱动程序库
Key Recovery Agent	Key Recovery Agent
KRA	KRA
refurbish	翻新
Budget Monitoring	预算监控
Internet Protocol	Internet 协议
IP	IP
category	类别
style	样式
hardware button	硬件按钮
Standard Sender	标准发送程序
gross margin	毛利率
gross profit	毛利润
web browser	Web 浏览器
Web browser	web 浏览器
Quarantine Server	隔离服务器
QS	QS
multi-function printer	多功能打印机
handheld scanner	手持式扫描仪
carbon copy	抄送
cc	cc
spinlock	旋转锁
text window	文本窗口
manual	手动
offline mode	脱机模式
cable modem	电缆调制解调器
interruptible orchestration	可中断业务流程
request throttling	请求限制
pooling	池
calculation condition	计算条件
subject	主题
back order	延期交货
delete	删除
soft start	软启动
e-service	电子服务
corrupted prefix pattern	损坏的前缀模式
portable executable file	可移植可执行文件
PE file	PE 文件
edge server	边缘服务器
finite scheduling	有限计划编制
finite loading	有限加载
access speed	访问速度
access time	存取时间
disk access time	磁盘访问时间
variance	差异
collating sort	合并排序
iteration length	迭代长度
weak password	弱密码
Saved networks	保存的网络
Text Display Size	文本显示大小
virtual machine identity	虚拟机标识
provider	访问接口
Replication ID	复制 ID
Global Universal Identification	全局通用标识
GUID	GUID
universally unique identifier	全局唯一标识符
UUID	UUID
unique identifier	唯一标识符
globally unique identifier	全局唯一标识符
bleed setting	出血设置
All Contacts	所有联系人
wireless LAN	无线 LAN
BNC connector	BNC 连接器
structural editing	结构化编辑
Fill Transform	填充转换
consumer	使用者
commission a tag	添加标记
managed folder mailbox assistant	托管文件夹邮箱助理
legacy	旧功能
noncontiguous namespace	分离命名空间
CF card	CF 卡
CompactFlash card	CompactFlash 卡
smart card reader	智能卡读卡器
control point	控制点
load-balanced Web server	负载平衡 Web 服务器
Getting Started pane	入门窗格
MS-DOS prompt	MS-DOS 提示符
status alert	状态通知
set intersection	交集
Bourne shell	Bourne 外壳
constraint	约束
TAB key	TAB 键
Universal Receiver Transmitter	通用收发器
URT	URT
log listener	日志侦听器
worksheet	工作表
good laboratory practice	药品非临床研究管理规范
User Name Mapping	用户名映射
Flashing	闪烁
RTP	RTP
Real-Time Transport Protocol	实时传输协议
quantitative assessment	定量评估
caching-only server	纯高速缓存服务器
electronic signature	电子签名
operation	操作
code access security	代码访问安全性
Connection Manager Administration Kit	连接管理器管理工具包
CMAK	CMAK
ESR	ESR
oversampling	过度采样
database column value	数据库列值
VBScript	VBScript
Visual Basic Scripting Edition	Visual Basic Scripting Edition
silent	静音模式
fidelity	保真
discount list	折扣表
Getting Started	入门
package	程序包
start	启动
overhead time	系统开销时间
To-Do Bar	待办事项栏
VAT ID	增值税 ID
external drive	外部驱动器
partial type	分部类型
Telephony Conferencing Server	电话会议服务器
price	价格
ATM	ATM
asynchronous transfer mode	ATM
void	无效
scorecard	记分卡
Virtual Machine Manager toolbar	Virtual Machine Manager 工具栏
subscription scheduled rule	订阅预定规则
point-in-time recovery	时点恢复
physical address extension	物理地址扩展
PAE	PAE
physical address expansion	物理地址扩展
makefile	生成文件
ODBC	ODBC
Open Database Connectivity	开放式数据库连接
localhost	localhost
Larger	较大
Group Policy client-side extension	组策略客户端扩展插件
portable media identifier	便携媒体标识符
public network	公用网络
multithreaded server application	多线程服务器应用程序
security update	安全更新程序
security update package	安全更新程序包
line-of-business application	业务线应用程序
software decoder	软件解码器
object identifier	对象标识符
OID	OID
AutoHide	自动隐藏
Auto Hide	自动隐藏
.tga	.tga
secure digital card	安全数字卡
SD card	SD 卡
index role	索引角色
GLB	GLB
MSJVM	MSJVM
archive	存档文件
system log	系统日志
Fly Out	飞出
ghosted item	ghosted item
SQL statement	SQL 语句
Live Meeting Replay	Live Meeting 重播
response	响应
record source	记录源
"Fade In, From Black"	淡入，从黑起变
Redirect URL	重定向 URL
nonimpact printer	非击打式打印机
print style	打印样式
access token	访问令牌
process access token	进程访问令牌
nonrepudiation	不可否认性
animation trigger	动画触发器
stockkeeping unit	库存单位
Christian gangsta rap	基督教黑帮说唱
superclass	超类
backfill	回填
Distributed Relational Database Architecture	分布式关系数据库结构
DRDA	DRDA
alpha blending	alpha 值混合处理
feed	信息提要
web feed	web 源
RSS feed	RSS  源
XML feed	XML 源
syndicated content	综合内容
anonymous user access	匿名用户访问
background graphics mode	背景图形模式
HVAC plan	HVAC 规划
anchor point	定位点
polling interval	轮询间隔
Windows Servicing	Windows 维护服务
static resource	静态资源
blink time	闪烁时间
Red Book audio format	Red Book 音频格式
Red Book audio	Red Book 音频
Windows Problem Reporting	Windows 问题报告
shadow folder	卷影文件夹
busy	忙碌
interactive TV	交互 TV
iTV	ITV
annual revenue	年收入
Personal Address Book	个人通讯簿
Advanced Peer-to-Peer Networking	高级对等网络
APPN	APPN
assigned task	已分配任务
source model	源模型
array constant	数组常量
autologon	自动登录
AutoConnect	自动连接
boxing	装箱
color keying	去除色彩
home	家
service order	服务订单
expose	暴露
invoice register	发票登记簿
fixed version	不可编辑的版本
closed content model	封闭内容模式
data migration	数据迁移
assignment pane	工作窗格
realm	领域
accessor	取值函数
mobile code	移动代码
Touch Improvements	触屏改进
printing pool	打印池
malicious user	恶意用户
Enhanced Document Availability	增强的文档可用性
global assumption	全局假设
service provider	服务提供者
logical unit number	逻辑单元号
LUN	LUN
network server	网络服务器
server	服务器
content key	内容密钥
symmetric key	对称密钥
linked dimension	链接维度
mailbox delivery queue	邮箱传递队列
financial template document	财务模板文档
Master Page Gallery	母版页样式库
external style	外部样式
auto-exit	自动退出
Help Collection	帮助集合
content owner	内容所有者
event chronicle	事件历史记录
partial differential backup	部分差异备份
Gouraud shading	高氏着色
partition table	分区表
Global	全局
competitor	竞争对手
Ease of Access Center	轻松使用设置中心
default database	默认数据库
About	关于
Conference	会议
bit-wise comparison	按位比较
coordinate pair	坐标对
Music Virtual Folder	音乐虚拟文件夹
test task	测试任务
BAR	BAR
base address register	基址寄存器
article	文章
backup file	备份文件
backup	备份
backup copy	备份副本
secondary zone	辅助区域
two-phase commit	两阶段提交
agent heartbeat	代理程序检测信号
current record	当前记录
inbound router	入站路由器
subnet mask	子网掩码
handle count	句柄数量
price list	价目表
Attendees pane	与会者窗格
authentication database	身份验证数据库
dependent	从属单元格
shared user profile	共享的用户配置文件
anchor member	定位点成员
Workplace module	工作区模块
Database restore	数据库还原
ClickOnce	ClickOnce
Chapter 11	第 11 章
health	健康
dynamic data exchange conversation	动态数据交换对话
DDE conversation	DDE 对话
activity	活动
domain naming master	域命名主机
Coordinated Universal Time	协调世界时
UTC	UTC
DTMF	DTMF
dual-tone multiple-frequency	双音多频
Internet Content Rating Association	Internet 内容分级协会
ICRA	ICRA
model site	模型站点
MRU	MRU
embedded style sheet	内嵌样式表
RFID solution	RFID 解决方案
FTS	FTS
event procedure	事件过程
SharePoint Publishing Wizard	SharePoint 发布向导
meter	计量
bar code reader	条码读取器
bar code scanner	条码扫描器
Open Systems Interconnection model	开放系统互连
OSI	OSI
hover selection	悬停选择
CSS selector	CSS 选择器
contact item	联系人项目
distributed password authentication	分布式密码验证
DPA	DPA
search condition	搜索条件
Contributor mode	参与者模式
ribbon group	功能区组
GIF	GIF
Graphics Interchange Format	图形交换格式
Entertainment Software Rating Board	娱乐软件分级制度
ESRB	ESRB
flat file format	平面文件格式
color box	颜色框
AppleTalk	AppleTalk
ASP.NET mobile Web Forms	ASP.NET 移动 Web 窗体
laser printer	激光打印机
RAM	RAM
random access memory	随机存取内存
Bluetooth	蓝牙
allotment used	已用服务配额
calculation pass	计算传递
event collection stored procedures	事件集合存储过程
infrared file transfer	红外文件传送
weblet	Weblet
merger	合并
block diagram	框图
computer discovery	计算机发现
remote call control URI	远程呼叫控制 URI
macro project	宏项目
highlighter	荧光笔
Authenticated Internet Protocol	已验证 Internet 协议
Authenticated IP	已验证 IP
AuthIP	AuthIP
Web archive	Web 档案
resource allocation	资源分配
security host	安全主机
unbound object	未绑定对象
offload target	卸载目标
caret	脱字号
simple indicator	简单指示器
Filter By Form	按窗体筛选
design element	设计元素
Alternative	另类
group header	组标头
working folder	工作文件夹
adapter	适配卡
packet privacy	数据包隐私性
risk management	风险管理
Internet address	Internet 地址
file replication service	文件复制服务
FRS	FRS
server definition	服务器定义
firmware	固件
dead key	语音符号键
class	类
computer grouping rule	计算机分组规则
site control file	站点控制文件
bypass	旁路
meeting request	会议请求
load	负荷
project plan	项目计划
send	发送
email	发送电子邮件
Contemporary Christian	当代基督教音乐
burst mode	突发模式
scale	缩放
conditional branch	条件分支
call	通话
revert	还原
Other	其他
Bulletin Board System	网上论坛
fill handle	填充柄
single node server cluster	单节点服务器群集
Lock Session	锁定会话
Change Message Font	更改消息字体
mail delivery service	邮件传递服务
log file	日志文件
dedicated resource	专用资源
embed	嵌入
invert	反转
probe	探测
attribute	特性
capitalize	大写
rich text field	格式文本字段
bad sector	坏扇区
main form	主窗体
Search Alerts	搜索通知
capacity load	产能负荷
Manage Lists right	管理列表权限
SKU	SKU
stock keeping unit	库存单位
direct response mode	直接响应模式
connector application	连接器应用程序
device password	设备密码
merge field	合并域
collocation	归置
DNS suffix	DNS 后缀
E-mail Auto-linking	电子邮件自动链接
merged cell	合并单元格
drawing canvas	画布
iteration	迭代
join style	联接样式
cell padding	单元格填充
Presenter View	演示者视图
credit card	信用卡
middleware	中间件
extrinsic event	外部事件
goal	目标
album	相册
rollback	回滚
Windows Filtering Platform	Windows 筛选平台
WFP	WFP
virtual network	虚拟网络
virtual switch	虚拟交换机
switching hub	交换集线器
rebar	rebar
rebar control	rebar 控件
contract	合同
chip	芯片
data pump	数据抽取
outer join	外部联接
native mode	本机模式
binary operator	二元运算符
shipping method	运送方式
build-to-order	按订单生产
major version	主要版本
pipeline	管道
site boundary	站点边界
OLAP provider	OLAP 提供程序
unit vector	单位向量
run-time library	运行时库
hash partitioning	哈希分区
My Day	My Day
complementary colors	补色
project type	项目类型
business-to-business site	企业到企业站点
outline	边框
Scheduling Assistant	日程安排助理
MUX	MUX
multiplexer	多路复用器
Transfer Now	立即转接
Web page	网页
web page	网页
page	页面
shipping address	送货地址
mailing address	通讯地址
StdOut	StdOut
alert owner	警报所有者
S	S
sexual situations	性内容
compare	比较
Project Web App	Project Web App
paragraph style	段落样式
sort order	排序顺序
sorting order	排序顺序
partial replica	部分副本
metamodel	元模型
image	映像
express message	快速消息
chart effect option	图表效果选项
Wi-Fi Protected Access	Wi-Fi 安全访问
WPA	WPA
contact management	联系人管理
bitmap	位图
network name	网络名称
refresh interval	刷新间隔
bug allotment	Bug 分配
ActiveX component	ActiveX 组件
root name	根目录名
pop-up form	弹出式表单
SMBIOS	SMBIOS
system management BIOS	系统管理 BIOS
RAM disk	RAM 磁盘
system device	系统设备
Internet Protocol version 4	Internet 协议第四版
IPv4	IPv4
test metric threshold	测试指标阈值
tagged contacts only	仅标记的联系人
connection agreement	连接协议
hardware tree	硬件树
user form template	用户表单模板
data flow engine	数据流引擎
perspective camera	远景相机
sorting	排序
Network Explorer	网络资源管理器
broadcast	广播
Peak Memory Usage	内存使用峰值
configuration section handler	配置节处理程序
connector	连接器
thread component	线程组件
system diagram	系统关系图
build configuration	生成配置
elapsed exclusive time	已用独占时间
real number	实数
pair wise consistency check	成对一致性检查
assign	分派
CLR stored procedure	CLR 存储过程
Remote Desktop Web Connection	远程桌面 Web 连接
Settings Manager	设置管理器
Duet Settings Manager	Duet 设置管理器
ribbon cable	扁平电缆
global catalog server	全局编录服务器
line screen angle	网屏线角度
deployment diagram	部署关系图
report server execution account	报表服务器执行帐户
access control entry	访问控制项
ACE	ACE
Super VGA	超级 VGA
super video graphics adapter	超级视频图形适配器
SVGA	SVGA
Sync	同步
expand indicator	展开指示符号
expand control	展开控件
extraction rule	提取规则
sensitivity	敏感度
sensitivity level	敏感度级别
collapsed backbone	折叠式主干网
presentation area	演示区
Word Count	字数统计
e-mail flooder	特洛伊木马邮件群发器
referring domain	引用域
database snapshot	数据库快照
customization	自定义
cursor	光笔
relative ID master	相对 ID 主机
RID master	RID 主机
chat room	聊天室
"planning, budgeting, and forecasting"	计划、预算和预测
PBF	PBF
"Enterprise Edition pool, expanded configuration"	Enterprise Edition 池，扩展配置
regex	regex
regular expression	正则表达式
allotment	服务配额
registered file type	已注册文件类型
relay	继电器
error string	错误字符串
check	检查
currency LCID	货币 LCID
currency locale identifier	货币区域标识符
report footer	报表页脚
list index	列表索引
symmetrical number pattern	对称数字模式
field length	字段长度
message trailer	消息尾部
Router	路由器
CRM-Exchange E-mail Router	CRM-Exchange E-mail Router
intercompany reconciliation	内部公司对帐
intercompany elimination	内部交易和往来抵销
CIM schema	CIM 架构
Feedback	反馈
runtime version	运行时版本
transaction rollback	事务回滚
ScreenTip	屏幕提示
tooltip	工具提示
Highlighter Settings	荧光笔设置
named instance	命名实例
cHTML	cHTML
single stepping	单步执行
stockout	脱销
sub-report	子报表
file size	文件大小
ISA Server Management	ISA 服务器管理
line chart	折线图
edit mode	编辑模式
Edit mode	编辑模式_
viewport extent	视区范围
extent	范围
Windows Media Screen codec	Windows Media 屏幕编解码器
staging web	暂存网站
staging Web site	暂存网站
intent lock	意向锁
intent share	意向共享
aggregate function	聚合函数
empty console start page	空白控制台起始页
handwriting	手写
decommission a tag	取消标记
optimistic	乐观的
card	插件板
hardware type	硬件类型
Application Layer Enforcement	应用层强制
ALE	ALE
MFC	MFC
fault injection	错误注入
Complete the merge	完成合并
alert severity	警报严重性
voice comment	语音批注
experience	体验
transaction log file	事务日志文件
total field	总和字段
action button	动作按钮
Z	Z
supplicant	请求方
aggregation	聚合
opportunity relationship	机会关系
project portal	项目门户
SNMP Management Console	SNMP 管理控制台
turnkey communications line	统包通信线路
RunOnce application	RunOnce 应用程序
subject	使用者
missing event	丢失的事件
writable	可写
bulk-logged recovery model	大容量日志恢复模式
publishing	发布
clustered index	聚集索引
high availability	高可用性
virus protection	病毒保护
runtime callable wrapper	运行时可调用包装器
RCW	RCW
dialing rules	拨号规则
device	设备
managed content settings	托管内容设置
encoding	编码
abend	中止
pattern	模式
manual test	手动测试
fuzzy matching	模糊匹配
At Least N Matches	至少 N 匹配
merge operation	合并操作
Windows DVD Maker	Windows DVD Maker
DpmBackup	DpmBackup
sorter	排序程序
home address	住宅地址
virtual DHCP server	虚拟 DHCP 服务器
RAS account	RAS 帐户
state indicator	状态指示符
OpenType font	OpenType 字体
PivotChart view	数据透视图视图
Mild Language	温和语言
active content	活动内容
handwriting input device	手写输入设备
prior period adjustment	前期调整
device conflict	设备冲突
Industrial	工业
flattened interface	平展界面
item sales tax group	销售税(物料)组
property value	属性值
Agent Manager	代理程序管理器
Microsoft Digest	Microsoft Digest
conversation subject	对话主题
case key	事例键
tree	树形
investment project	投资项目
VCB	VCB
volume control block	卷控制块
text file	文本文件
Source Control Explorer	源代码管理资源管理器
backing store	后备存储
Display Control Interface	显示控制接口
Complementary Metal Oxide Semiconductor	互补金属氧化物半导体
web farm	web 场
Web farm	Web 场
Document Map	文档结构图
on-chip performance counter	芯片性能计数器
liquidity	流动性
assignment	工作
beacon	信标
data source control	数据源控件
section	节
Web server	Web 服务器
web server	web 服务器
medium	中
command control block	命令控制块
end	结束
model association	模型关联
cross-model association	跨模型关联
protection point	保护点
radio	调频广播
RS-232-C standard	RS-232-C 标准
inline style	嵌入式样式
Web Folders	Web 文件夹
personal identification number	个人标识号
PIN	PIN
PIN code	PIN码
Profile Editor	配置文件编辑器
Alt. Rock	另类摇滚
View Lists right	查看列表权限
TAM	TAM
technical account manager	技术部客户经理
ABC code for revenue	ABC 代码 - 收入
someone@example.com	someone@example.com
user@example.com	user@example.com
aggregate query	聚合查询
think profile	思考时间配置文件
Files by File Group	按文件组的文件报告
Match Code Update	匹配代码更新
binder divider	活页夹分隔片
standard account	标准帐户
picture element	像素
pixel	像素
Mirror	镜像
CLR trigger	CLR 触发器
Develop Skills Needs - Hiring Plan - Hiring Forecast	制定技能需求 – 雇佣计划 – 雇佣预测
fax server	传真服务器
Rules Engine Update service	规则引擎更新服务
pipeline configuration file	管道配置文件
master element	主元素
bank statement	银行对帐单
Event Tracing for Windows	Windows 事件跟踪
ETW	ETW
shut down	关闭
ticker symbol	股票代号
flush	刷新
benchmark result	基准检验结果
scripting language	脚本语言
mixer tile	mixer tile
audiovisual	视听的
zone endpoint	区域终结点
bulk encryption	批量加密
hub	集线器
Other Contacts	其他联系人
Close button	关闭按钮
User Account Control	用户帐户控制
UAC	UAC
window handle	窗口句柄
Windows Media audio encoder library	Windows Media 音频编码器库
lock	锁定
Report toolbar	报表工具栏
UPS service	UPS 服务
threading model	线程模型
Windows Media Author	Windows Media Author
database management system	数据库管理系统
DBMS	DBMS
database manager	数据库管理器
Primary disk	主磁盘
console tree	控制台树
AutoArchive	自动存档
conversion	转换
cache/proxy server	缓存/代理服务器
referential integrity	引用完整性
dependent module	依赖模块
duplicate detection	重复检测
extended memory	扩展内存
paper feed	纸张馈送
Mute	静音
SoHR	SoHR
statement of health response	运行状况声明响应
garbage collector	垃圾回收器
Start Microsoft Office OneNote	启动 Microsoft Office OneNote
report server administrator	报表服务器管理员
Windows Script Component file	Windows 脚本组件文件
low memory problem	内存不足问题
gatherer log	Gatherer 日志
mailbox user	邮箱用户
field value	域值
Direct Mailer Pipeline	非事务处理管道
ethical wall	信息隔离墙
center	居中
root	根
rank	级别
prioritize	设置优先级
Retro	怀旧
Authentication Validation	身份验证
call forwarding	呼叫转移
UA	UA
user agent	用户代理
manual line break	手动换行符
Windows Update	Windows 更新
Windows Update website	Windows 更新网站
Advanced Configuration and Power Interface	高级配置和电源接口
ACPI	高级配置和电源接口
Windows Ultimate Extras	Windows Ultimate Extras
custom profile	自定义配置文件
ABC code for carrying cost classification	ABC 代码 - 储存成本分类
requested	已请求
target directory	目标目录
shader	着色器
pixel shader	象素着色器
petty cash	备用金
subscription group	预订组
vector graphic	矢量图形
vector artwork	矢量图
Windows Welcome	欢迎使用 Windows
issue	颁发
hardware configuration	硬件配置
credit advice	贷方通知书
external customer	外部客户
audio input device	音频输入设备
Crash Dump Type	故障转储类型
visibility	可见性
reload	重载
stencil buffer	模板缓冲区
ad hoc network	临时网络
computer-to-computer network	计算机到计算机网络
ad-hoc network	对等网络
direct synchronization	直接同步
Edit	编辑
target partition	目标分区
HAL	HAL
hardware abstraction layer	硬件抽象层
program restrictions	程序限制
service level exception	服务级别例外情况
prolog	prolog
change management	变更管理
paragraph mark	段落标记
public variable	公共变量
dynamic volume	动态卷
anonymous logon	匿名登录
send request file	发送请求文件
IP address mask	IP 地址掩码
capitalized letter	大写字母
uppercase letter	大写字母
font cartridge	字体盒
follow-up activity	跟进活动
programmable interrupt controller	可编程中断控制器
sales tax exempt	免税(销售税)
LAN emulation	LAN 仿真
Internet Directory	Internet 目录
network control program	网络控制程序
skew	倾斜
shear	扭曲
EP	EP
enterprise portal	企业门户
increment	增量
network adapter driver	网络适配器驱动程序
lease	租用
lease time	租用时间
grid	网格
UPS zone	UPS 区域
United Parcel Service zone	UPS 区域
.msi file	.msi 文件
concurrent	并发
identifier type character	标识符类型字符
programming language	编程语言
computer language	计算机语言
language	语言
multi-spot	多点
cascading event	级联事件
User Datagram Protocol	用户数据报协议
UDP	UDP
underlying table	基础表
random number generation	随机数生成
transformation	转换
computed column	计算列
nonpaged pool	非分页缓冲池
saved state	已保存状态
SE team	SE 团队
application definition	应用程序定义
Printers and Faxes	打印机和传真
auto-repeat	自动重复
Windows Feedback Platform	Windows 反馈平台
logoff URL	注销 URL
logon	登录
line segment	线段
simple style	简单样式
distribution	分配
Draw Text tool	手写文本工具
Cabaret	酒馆音乐
voice message	语音消息
ShowSounds	声音显示
Notify	通知
mailbox store	邮箱存储
anonymous method	匿名方法
Link Control Protocol	链接控制协议
LCP	LCP
character data	字符数据
interface implication	接口隐含
dynamic filter	动态筛选器
parameterized row filter	参数化行筛选器
dismount	卸除
coworker shape	同事形状
Outlook Web Access Light	Outlook Web Access Light
Flash	Flash
Macromedia Flash	Macromedia Flash
training	训练
secondary customer	从属客户
Save As E-mail	另存为电子邮件
write-only	只写
open fiscal period	启用会计期间
target logical datacenter	目标逻辑数据中心
Call History	呼叫记录
history	通话记录
batch job	批处理作业
exclamation point	感叹号
Windows Mobile Membership	Windows Mobile 会员专区
retail key	零售密钥
UPnP technology	UPnP 技术
speech recognition profile	语音识别配置文件
MOM Reporting Server	MOM 报表服务器
internal company	内部公司
edit control	编辑控件
Soundtrack	原声带
filtered HTML	已筛选的 HTML
time stamp	时间戳
fit	适应
correlation set	相关集
Windows Media file	Windows Media 文件
SQL-92	SQL-92
use case	用例
marquee	字幕
data collection logger	数据收集记录器
Electronic	电子音乐
auto-report	自动报表
disc burner	光盘刻录机
modem	调制解调器
modulator/demodulator	调制解调器
tree diagram	树形图
Windows SuperFetch	Windows SuperFetch
capture	捕获
Windows File Protection	Windows 文件保护
nonrepeatable read	不可重复读
URL smashing	启用 URL 劲爆功能
round robin	轮循机制
search	搜索
Master Category List	主类别列表
uniqueidentifier data type	uniqueidentifier 数据类型
database grooming	数据库整理
submodel	下级模型
Web reference	Web 引用
visited hyperlink	访问过的超链接
followed hyperlink	已访问过的超链接
ICQ exploit	ICQ 攻击
object library	对象库
business information	业务信息
work item	工作项
pass-through query	传递查询
plus or minus sign	正负号
manual test template	手动测试模板
cause and effect diagram	因果图
Ishikawa diagram	石川图
fishbone diagram	鱼骨图
characteristic diagram	特性图
partial localization	部分本地化
notice	通知
SMS inventory	SMS 清单
multicast static route	多播静态路由
draft	草稿
affinity	相关性
code segment	代码段
Enter phone URI	输入电话 URI
edit command	编辑命令
service instance	服务实例
hot docking	热插接
inking	墨迹书写
critical update	关键更新
site assignment	站点分配
Tent card	名牌
hardware failure	硬件失败
partition boot sector	分区引导扇区
catalog merge area	目录合并区
metadata publisher	元数据发布程序
high priority update	高优先级更新
Virtual Machine Remote Control	虚拟机远程控制
VMRC	VMRC
distributed partitioned view	分布式分区视图
rs utility	rs 实用工具
adjusted percentage	折扣百分比
compile time	编译时
DPM Management Pack	DPM 管理包
classification matrix	分类矩阵
fixed server role	固定服务器角色
swap	切换
publishing point	发布点
method of contact	联系方式
assembly	集合
leaf member	叶成员
gradient	渐变
Internet gateway	Internet 网关
presence	状态
cabinet file	Cabinet 文件
.wma	.wma
System Management Mode	System Management Mode
SMM	SMM
Block list	阻止名单
Emergency Management Services	紧急管理服务
EMS	EMS
threshold	阈值
threshold value	阈值
bit stream	位流
account expiration	帐户有效期限
plug-in	插件
account manager	帐户管理员
bit block	位块
home server	主服务器
residential server	承载服务器
Quick Tag Tree	快速标记树状图
authentication delegation	身份验证委派
button control	按钮控件
provision	设置
runspace	运行空间
Banks Automated Clearing System	银行自动对帐系统
BACS	银行自动对帐系统
category hierarchy	类别层次结构
detach	拆离
return code	返回代码
reference dimension	引用维度
equipment mailbox	设备邮箱
pager	寻呼机
ActiveX object	ActiveX 对象
Automation object	自动化对象
Pencil	铅笔
unenforced relationship	非强制关系
High-Definition Television	高清晰度电视
HDTV	HDTV
ASBR	ASBR
autonomous system boundary router	自治系统边界服务器
attribute field	属性域
assembly manifest	程序集清单
manifest	清单
theater mode	影院模式
log entry	日志项目
R18+	R18+
BBFC R18+	BBFC R18+
Suggestive Themes	暗示性主题
mask	过滤
checked build	已检验版本
primary client computer	主客户端计算机
concrete class	实际类别
audio output	音频输出
audio response	音频响应
digital signature	数字签名
dimension	维度
Trailer	预告片
tab	标签页
management pack	管理包
video transition	视频过渡
counterfeit software	仿冒软件
carrier detected	载波检测
rudder control	方向舵控制器
fact data	事实数据
Audio toolbar	音频工具栏
surface area	外围应用
location profile	位置配置文件
ad click	广告点击
data channel	数据信道
D-channel	D 信道
Silver	银牌服务
job object	作业对象
Goa	Goa
visual total	直观合计
corrupt	损坏
RSS Subscriptions	RSS 订阅
Hate speech	仇恨语言
master database	master 数据库
PAGE UP key	Page Up 键
conferencing information	会议信息
open opportunity	未结商机
Work	工作
Team Edition for Software Testers	Team Edition for Software Testers
Team Test	Team Test
deallocate	解除分配
will call	自提
policy bar code	策略条码
Digital Signature Standard	数字签名标准
DSS	DSS
Musical	音乐剧
hardware ID	硬件 ID
packet	数据包
battery	电池
embedded resource	嵌入的资源
crop	剪切
desired zone	所需区域
directory browsing	目录浏览
play	播放
tracer token	跟踪令牌
Drawing Explorer	绘图资源管理器
compiler	编译程序
encryption key	加密密钥
data encryption key	数据加密密钥
DEK	DEK
Microsoft Office Communicator Web Access Manager	Microsoft Office Communicator Web Access Manager
Communicator Web Access Manager	Communicator Web Access Manager
"Spin, out"	旋转，缩小
indexed view	索引视图
"connected, user authenticated"	已连接， 用户身份已验证
permissions level	权限级别
measure	度量值
dynamic locking	动态锁定
background	背景
Sound Recorder	录音机
Windows Sound Recorder	Windows 录音机
deployment manifest	部署清单
expansion slot	扩展槽
capitalized	大写
Dial by Name	按名字拨叫
call barring password	呼叫限制密码
range partitioning	按范围分区
WS-Federation Passive Requestor Profile	WS 联合身份验证被动请求者配置文件
WS-F PRP	WS-F PRP
toll	电话
subkey	子项
one-pass encoding	单步编码
managed property	托管属性
redirector	重定向程序
hash	哈希
dial-up	拨号
jukebox	自动唱片点唱机
universal group	通用组
content provider	内容提供商
