alphanumeric sort	按字母数字顺序排列
local user profile	本地用户配置文件
scroll bar	滚动条
page banner	网页横幅
passing mechanism	传入机制
expense report	零用金报销单
sort	排序
ActiveX Data Objects MultiDimensional.NET	ActiveX Data Objects MultiDimensional.NET
ADOMD.NET	ADOMD.NET
"Zoom, Up and In"	缩放，向上和放大
administrator account	Administrator 帐户
administrator	Administrator
built-in administrator account	内置 Administrator 帐户
built-in administrator	内置 Administrator
comma delimited file	逗号分隔文件
comma-delimited file	逗号分隔文件
comma-separated file	逗号分隔文件
comma-separated value file	逗号分隔值文件
CSV	CSV
comma-separated values file	逗号分隔值文件
XML Signature	XML签名
heartbeat checking	检查检测信号
remote reference	远程引用
token	标记
custom adapter	自定义适配器
code snippet	代码片段
Mute Me	将我设为静音
driver package	驱动程序包
command timeout	命令超时
Common Structure Services	通用结构服务
assembly metadata	程序集元数据
tab order	Tab 键顺序
owner	负责人
client/server architecture	客户端/服务器体系结构
client/server computing	客户端/服务器计算
GDI+	GDI+
quality dissatisfaction	质量不达标
assembly cache	程序集缓存
Extensible Stylesheet Language	可扩展样式表语言
XSL	XSL
clock rate	时钟速率
clock speed	时钟速度
double-click	双击
mode	模式
location	位置
places	位置
customer	客户
logical source	逻辑源
custom source	自定义源
POST	张贴
power-on self test	开机自检
network card driver	网卡驱动程序
Last Heartbeat	上次检测信号
device driver	设备驱动程序
driver	驱动程序
active presenter	当前演示者
remote Distributor	远程分发服务器
keep-alive connection	保持的连接
primary database	主数据库
full installation	完全安装
end-of-file	文件尾
EOF	EOF
expected revenue	预期收入
Java	Java
transaction manager	事务管理器
Publishing Resources	Publishing Resources 功能
usage scenario	使用方案
code review	代码评审
ActiveX	ActiveX
b-spline path	b-spline 路径
push replication	推送复制
database role	数据库角色
bigint	bigint
key	密钥
server-side include	服务器端包含
SSI	SSI
value mapping	值映射
addition operator	加号
OLE/DDE link	OLE/DDE 链接
link	链接
authenticate	验证
policy	策略
Champion of Logic	冠军
Find	查找
WMI Query Language	WMI 查询语言
WQL	WQL
octet	八进制数
User Profile Hive Cleanup Service	User Profile Hive Cleanup Service
UPHClean	UPHClean
CGA	CGA
color graphics adapter	彩色/图形适配器
configure	配置
mock object	mock 对象
helper DC	帮助器 DC
WMA Pro	WMA Pro
Windows Media Audio 9 Professional	Windows Media Audio 9 Professional
library	库
document library	文档库
remote	远程的
file differential backup	文件差异备份
PDC	PDC
primary domain controller	主域控制器
Follow Up	跟进
port	端口
system health validator	系统健康验证程序
SHV	SHV
In a meeting	正在开会
site path rule	网站路径规则
available	可用的
server process	服务器进程
helper	帮助程序
helper application	帮助应用程序
address class	地址类
Calculator	计算器
cash on delivery	货到付款
COD	货到付款
tabular data stream	表格格式数据流
TDS	TDS
calculated expression	计算表达式
auxiliary display	辅助显示
industry code	工业代码
cartridge	盒
crude indecent language	极度粗俗语言
coarse language	粗俗语言
L	L
body	正文
UNIX file permissions	UNIX 文件权限
Publisher	发布服务器
publisher database	发布服务器数据库
Has Floor status	获得讲席状态
Advanced Encryption Standard	高级加密标准
AES	AES
Repository SQL schema	存储库 SQL 架构
collection letter fee	催款单费用
personal schedule	个人计划
Windows Live Movie Maker	Windows Live 影音制作
Movie Maker	影音制作
Microsoft Internet Information Services	Microsoft Internet Information Services
IIS	IIS
Internet Information Services	Internet Information Services
coordinate	坐标
repudiation	否认性
text field	文本字段
real-time clock	实时时钟
RTC	RTC
health monitoring	运行状况监视
original sales invoice	原始销售发票
service access point	服务访问点
MDX Editor	MDX 编辑器
resource data	资源数据
unallocated space	未分配空间
overlap	重叠
pre-filter	初级筛选器
facility	设施
Authenticode	验证码
Cluster service	群集服务
unsigned driver	未签名驱动程序
error log	错误日志
pointing device	指针设备
DIVISION SIGN	除号
direct event handling	直接事件处理
easily	轻松地
performance threshold	性能阈值
join	联接
Java Virtual Machine	Java 虚拟机
JVM	JVM
GPO	GPO
connectionless	无连接的
linked object	链接对象
systemroot	systemroot
%SYSTEMROOT%	%SYSTEMROOT%
SharePoint group	SharePoint 组
remote table	远程表
acceptance testing	验收测试
session state	会话状态
custom server control	自定义服务器控件
Personal Information Manager	个人信息管理器
service pack	服务包
SP	SP
cycle diagram	循环图
EISA	EISA
Extended Industry Standard Architecture	扩展工业标准结构
enhanced folder	增强型文件夹
SQL Server 2005 Express Edition	SQL Server 2005 Express Edition
user group	用户组
primary table	主表
Mini-Setup wizard	最小化安装向导
vertical filtering	垂直筛选
Lock Conference	锁定会议
hash function	哈希算法
hash algorithm	哈希算法
acute accent	锐音符
minor version	次要版本
cost basis	成本基数
system configuration	系统配置
configuration	配置
destination area	目标区域
promissory note	本票
hard copy	打印件
"Fade Out, To White"	淡出，变白
implicit transaction	隐式事务
write back	回写
locally-unique identifier	本地唯一标识符
LUID	LUID
area chart	分区图
zone	区域
trust	信任
extended character	扩展字符
resolve	解析
software update	软件更新
synchronize	同步
sync	同步
nonprinting region	非打印区域
load balancing	负载平衡
B-spline	B-spline
input focus	输入点
synchronous data exchange	同步数据交换
arrow key	箭头键
cursor key	光标键
mandatory field	必填字段
required field	必填字段
.mpeg	.mpeg
disk directory	磁盘目录
HIP challenge	HIP 质询
dynaset	动态集
grab	捕捉
active color palette	活动调色板
two-factor authentication	双因素身份验证
full differential backup	完整差异备份
salesperson	销售员
transmitting station ID string	传输站 ID 字符串
TSID string	TSID 字符串
Tobacco	烟草
capture buffer	捕获缓冲区
My Documents	我的文档
lobby page	介绍页
Account partner discovery form	帐户伙伴关系发现表单
joke program	玩笑程序
Internet Protocol multicasting	Internet 协议多播
work item query	工作项查询
packaging	打包
cell reference	单元格引用
character device	字符设备
Sonata	奏鸣曲
Windows Basics	Windows 基础
scheme color	配色方案颜色
DAT	DAT
digital audio tape	数字音频带
Hardcore	硬核
active document	活动文档
distance vector multicast routing protocol	远程矢量多播路由协议
Microsoft CRM laptop client for Microsoft Office Outlook	Microsoft CRM laptop client for Microsoft Office Outlook
Microsoft CRM laptop client for Outlook	Microsoft CRM laptop client for Outlook
object model diagram	对象模型图
PLD	PLD
programmable logic device	可编程逻辑器件
linear fraction	分数(横式)
Scorecard View	记分卡视图
pilot	试点
bit image	位图
optional hyphen	可选连字符
soft hyphen	软连字符
offline restore	脱机还原
PIF	PIF
program information file	程序信息文件
LINQ	LINQ
language-integrated query	语言集成查询
Chess Titans	Chess Titans
Planning System Database	规划系统数据库
NFS server	NFS 服务器
write	写入
antivirus program	防病毒程序
antivirus software	防病毒软件
AV	AV
antimalware software	反恶意软件
antimalware program	反恶意程序
Read permission	读取权限
gatekeeper	网关守卫
Bezier curve	贝塞尔曲线
document	文档
doc	文档
LAN emulation configuration server	LAN 仿真配置服务器
thread	线程
system management interrupt	系统管理中断
SMI	SMI
DTC	DTC
Microsoft Distributed Transaction Coordinator	Microsoft 分布式事务处理协调器
MS DTC	MS DTC
MSDTC	MPEG Audio Layer-3
Distributed Transaction Coordinator	分布式事务处理协调器
hidden	隐藏
cooked mode	成熟模式
request handler	请求处理器
Video Top	视频在前
Parents Strongly Cautioned	强烈建议家长指导
TV-14	TV-14
amortize	摊销
Windows OS Loader	Windows OS 加载程序
straight-line service life depreciation method	平均年限法
trust level	信任级别
stream	流式传输
OEM branding	OEM 品牌
assigned management point	分配的管理点
capture device	捕获设备
container	容器
Berkeley Software Distribution	Berkeley Software Distribution
BSD	BSD
system rating	系统分级
delegation wizard	委派向导
"Mirror, Horizontal"	镜像，水平
backdoor	后门程序
spot metering	点测光
technician computer	技术人员计算机
dynamic adapter	动态适配器
PCI	PCI
peripheral component interconnect	外围组件互连
ranking	分级
picture-in-picture	画中画
banding	分级
topoloader	拓扑加载器
RAM cache	RAM 高速缓存
random access memory cache	随机存取内存高速缓存
build cycle	生成周期
dongle	硬件保护装置
Audio/Video Conferencing Server	A/V 会议服务器
data-overrun error	数据溢出错误
child workflow	子工作流
dependent workflow	依赖工作流
Detective	侦探
dimensionality	维度
many-to-many dimension	多对多维度
File Screening Audit	文件屏蔽审核
reason ID	错误原因号
Quick Launch toolbar	“快速启动”工具栏
Quick Launch	快速启动
warning icon	警告图标
predictable column	可预测列
Internet audio broadcasting	Internet 音频广播
embedded controller interface	嵌入式控制器接口
SCROLL LOCK key	Scroll Lock 键
NCW	NCW
New Connection Wizard	新建连接向导
remote login identification	远程登录标识
Unmute Speakers	取消扬声器静音
normalized value	规范化值
Information Access Service	信息访问服务
IAS	IAS
brainstorming diagram	灵感触发图
interface definition language	接口定义语言
IDL	IDL
assigned program	指派
trade-off matrix	权衡矩阵
component database	组件数据库
font	字体
Polsk Punk	波兰朋克
web console	Web  控制台
ZIP code	邮政编码
assembly file	程序集文件
Windows CE	Windows CE
random access	随机存取
send port	发送端口
Simple Network Time Protocol	简单网络时间协议
SNTP	SNTP
configuration file	配置文件
matrix data region	矩阵数据区域
DLL	DLL
dynamic-link library	动态链接库
current region	当前区域
flyer	传单
management server	管理服务器
absolute reference	绝对参照
absolute cell reference	绝对单元格交叉引用
stream	流
user principal name	用户主体名称
UPN	UPN
client	客户端
client computer	客户端计算机
cost accounting	成本核算
distribute	分散
shrink	收缩
Save	保存
replica	副本
Discrimination	歧视
Active Directory Certificate Services	Active Directory  证书服务
AD CS	AD CS
hot spot	热点
ping time out	ping 超时
Last Name	姓
prompt	提示
ASP.NET controls	ASP.NET 控件
stealth	隐蔽的
conditional expression	条件表达式
Boolean expression	布尔表达式
Internet access	Internet 访问
Microsoft Exchange Server	Microsoft Exchange Server
Exchange Server	Exchange Server
small caps	小号大写字母
synthetic transaction	综合事务
ruler	标尺
SQL Server login	SQL Server 登录
ordered test	顺序测试
loopback	环回
journaling agent	日记代理
action page	操作页
Web discussion	Web 讨论
multiboot	多重引导
Microsoft Windows User Interface (UI) Automation	Microsoft Windows 用户界面自动化
UI Automation	UI 自动化
UI Automation framework	UI 自动化框架
No Youth	非青少年
ghost device	ghost  设备
user profile	用户配置文件
host group	主机组
role-playing dimension	角色扮演维度
X.400	X. 400
publishing server	发布服务器
silent installation	无提示安装
unattended installation	无人参与安装
hands-free installation	无人参与安装
unattended setup	无人参与安装
baseband	基带
base object	基对象
cascading delete	级联删除
cascade delete	级联删除
SNA	SNA
Systems Network Architecture	系统网络体系结构
hard reset	硬重置
original design manufacturer	原始设计制作商
ODM	ODM
desktop	桌面
Release key	释放键
bootstrap	启动
skewed fraction	分数(斜式)
Company	公司
Colleagues	同事
global group	全局组
naming container	命名容器
workflow rule	工作流规则
IP Exceptions	IP 例外
absolute pointing device	绝对指针设备
product catalog	产品目录
palmtop	掌上电脑
un-sign	取消签署
control	控制
loopback address	环回地址
link bar	链接栏
virtual	虚拟的
Dial-Up Networking	拨号网络
DUN	DUN
content slide show	内容幻灯片放映
business tool	业务工具
binary	二进制
Rectangle Pan Button	方盘按钮
critical error	关键错误
screen saver	屏幕保护
rsconfig utility	rsconfig 配置工具
static load balancing	静态负载平衡
ntext	ntext
Initial Configuration Tasks	初始配置任务
ICT	ICT
Blood and Gore	血腥
primary partition	主分区
Run Query	运行查询
Configuration Manager software inventory	Configuration Manager 软件清单
by default	默认方式
Public IM Connectivity	公共 IM 连结性
Microsoft Office Live Communications Server 2005 Public IM Connectivity	Microsoft Office Live Communications Server 2005 公共 IM 连结性
PIC	PIC
auto-joining	自动连接
Web Part description file	Web 部件描述文件
comment	注释
retained earnings	留存收益
infrared device	红外设备
Web application	Web 应用程序
web-enabled application	启用 Web 的应用程序
file control block	文件控制块
FCB	FCB
boundary scan	边界扫描
speaker fill	扬声器填充
redirect	重定向
inventory transaction	库存交易记录
Key Management Service	密钥管理服务
stolen page	偷取的页
Lower Provisioning Module	Lower Provisioning Module
LPM	LPM
continuous-tone image	连续色调图像
Assistant object	助手对象
billing frequency	记帐频率
solution provider	解决方案提供商
